Key,English,Arabic,Chinese,Czech,Danish,Dutch,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Hindi,Japanese,Korean,Norwegian,Polish,Portuguese,Russian,Swedish,Spanish,Thai,Turkish,Ukrainian,Vietnamese
CC.decals_extra,Clothing Decals Extra,شارات الملابس اضافية,额外服装贴花,Obtisky na oblečení Extra,Tøjdekaler Ekstra,Kledingstickers Extra,Vaatetarrat Extra,Décalcomanies pour vêtements supplémentaires,Kleidungsaufkleber Extra,Χαλκομανίες ρούχων Extra,מדבקות בגדים אקסטרה,Ruházati matricák Extra,Stiker Pakaian Ekstra,Decalcomanie per abbigliamento extra,कपड़ों के डिकल्स अतिरिक्त,衣類用デカール エクストラ,의류 데칼 추가,Klesdekaler Ekstra,Dodatkowe naklejki na ubrania,Decalques extras para roupas,Наклейки на одежду Экстра,Kläddekaler Extra,Calcomanías de ropa adicionales,สติ๊กเกอร์เสื้อผ้าพิเศษ,Kıyafet Çıkartmaları Ekstra,Наклейки на одяг Extra,Đề can quần áo thêm
CC.decals_logo,Clothing Decals Logo,شعار شارات الملابس,服装贴花标志,Logo Obtisky Obtisky,Logo med tøjmærkater,Kledingstickers Logo,Vaatetarrat Logo,Logo de décalcomanies pour vêtements,Logo für Kleidungsaufkleber,Λογότυπο Χαλκομανίες Ρούχων,לוגו מדבקות לבוש,Ruházati matricák logója,Logo Stiker Pakaian,Logo delle decalcomanie dell'abbigliamento,वस्त्र डिकल्स लोगो,衣類用デカールロゴ,의류 데칼 로고,Logo dekaler for klær,Logo naklejek odzieżowych,Logotipo de decalques para roupas,Наклейки на одежду с логотипом,Logotyp för kläddekaler,Logotipo De Calcomanías De Ropa,โลโก้สติ๊กเกอร์เสื้อผ้า,Giyim Çıkartmaları Logo,Логотип наклейок на одяг,Logo đề can quần áo
CC.tattoo,Tattoo,وشم,纹身,Tetování,Tatovering,Tatoeëren,Tatuointi,Tatouage,Tätowieren,Τατουάζ,לְקַעֲקֵעַ,Tetoválás,Tato,Tatuaggio,टटू,入れ墨,타투,Tatovering,Tatuaż,Tatuagem,Тату,Tatuering,Tatuaje,สัก,Dövme,татуювання,Xăm hình
CC.tattoo_2,Tattoo Additional,وشم إضافي,纹身附加,Dodatečné tetování,Ekstra tatovering,Tatoeage extra,Tatuointi lisä,Tatouage supplémentaire,Tattoo zusätzlich,Πρόσθετο τατουάζ,קעקוע נוסף,Kiegészítő tetoválás,Tato Tambahan,Tatuaggi aggiuntivi,टैटू अतिरिक्त,タトゥー追加,문신 추가,Tatovering tillegg,Tatuaż dodatkowy,Tatuagem Adicional,Тату Дополнительно,Ytterligare tatuering,Tatuaje Adicional,สักเพิ่มเติม,Dövme Ek,Додаткове татуювання,Hình xăm bổ sung
CC.legs,Legs/Pants,الساقين/السراويل,腿/裤,Nohy/kalhoty,Ben/bukser,Benen/broek,Jalat/housut,Jambes/Pantalon,Beine/Hosen,Πόδια/Παντελόνια,רגליים/מכנסיים,Lábak/nadrágok,Kaki/Celana,Gambe/Pantaloni,पैर/पैंट,脚/パンツ,다리/바지,Ben/bukser,Nogi/Spodnie,Pernas/Calças,Ноги/Брюки,Ben/byxor,Piernas/Pantalones,ขา/กางเกง,Bacaklar/Pantolon,Ноги/штани,Chân/Quần
CC.legs_2,Legs/Pants Additional,الأرجل/السراويل إضافية,腿/裤附加,Nohy/kalhoty navíc,Ben/bukser Ekstra,Benen/broek extra,Jalat/housut Lisävaruste,Jambes/pantalons supplémentaires,Beine/Hosen zusätzlich,Πόδια/Παντελόνι Πρόσθετο,רגליים/מכנסיים נוספים,Lábak/nadrágok Kiegészítő,Tambahan Kaki/Celana,Gambe/Pantaloni aggiuntivi,पैर/पैंट अतिरिक्त,脚/パンツ追加,다리/바지 추가,Legg/bukser tillegg,Nogawki/Spodnie Dodatkowe,Pernas/Calças Adicionais,Ноги/брюки дополнительные,Ben/byxor Extra,Piernas/Pantalones Adicionales,ขา/กางเกงเพิ่มเติม,Bacaklar/Pantolon Ek,Ноги/Штани Доп,Chân/Quần bổ sung
CC.legs_extra,Legs/Pants Extra,الساقين/السراويل اضافية,腿部/裤子额外,Nohy/kalhoty Extra,Ben/bukser Ekstra,Benen/Broek Extra,Jalat/housut Extra,Jambes/pantalons supplémentaires,Beine/Hosen extra,Πόδια/Παντελόνι Extra,תוספת רגליים/מכנסיים,Lábak/nadrágok Extra,Ekstra Kaki/Celana,Gambe/Pantaloni Extra,पैर/पैंट अतिरिक्त,脚/パンツ追加,다리/바지 추가,Ben/Bukse Ekstra,Nogi/Spodnie Extra,Pernas/Calças Extra,Ноги/Брюки Экстра,Ben/byxor Extra,Piernas/Pantalones Extra,ขา/กางเกงเสริม,Bacaklar/Pantolon Ekstra,Ноги/штани Екстра,Chân/Quần Thêm
CC.legs_access,Legs/Pants Accessories,إكسسوارات الأرجل/السراويل,腿/裤配件,Příslušenství pro nohy/kalhoty,Ben/bukser tilbehør,Benen/broekaccessoires,Jalkojen/housujen tarvikkeet,Accessoires jambes/pantalons,Zubehör für Beine/Hosen,Αξεσουάρ ποδιών/παντελονιών,אביזרי רגליים/מכנסיים,Lábak/nadrágok kiegészítők,Aksesoris Kaki/Celana,Accessori gambe/pantaloni,पैर/पैंट सहायक उपकरण,脚/パンツアクセサリー,다리/바지 액세서리,Ben/buksetilbehør,Akcesoria do nóg/spodni,Acessórios para pernas/calças,Аксессуары для ног/брюк,Tillbehör för ben/byxor,Accesorios para piernas/pantalones,อุปกรณ์เสริมขา/กางเกง,Bacaklar/Pantolon Aksesuarları,Аксесуари для ніг/штанів,Phụ kiện chân/quần
CC.shoes,Shoe Wear,ارتداء الأحذية,鞋履,Oblečení obuvi,Skotøj,Schoen slijtage,Kengän kuluminen,Porter des chaussures,Schuhbekleidung,Παπούτσια,ללבוש נעליים,Cipőviselet,Keausan Sepatu,Usura delle scarpe,जूता पहनना,靴の摩耗,신발 착용,Sko slitasje,Noszenie butów,Desgaste de sapato,Обувь,Skoslitage,calzado,รองเท้าสวม,Ayakkabı Giyim,Одяг для взуття,Mang giày
CC.armor_helmet,Armor - Helmet,درع - خوذة,盔甲-头盔,Brnění - Helma,Rustning - Hjelm,Harnas - Helm,Panssari - kypärä,Armure - Casque,Rüstung - Helm,Πανοπλία - Κράνος,שריון - קסדה,Páncél – sisak,Baju Besi - Helm,Armatura - Casco,कवच - हेलमेट,防具 - ヘルメット,갑옷 - 투구,Rustning - Hjelm,Pancerz - Hełm,Armadura - Capacete,Броня - Шлем,Pansar - Hjälm,Armadura - Casco,ชุดเกราะ - หมวกกันน็อค,Zırh - Kask,Броня - шолом,Áo giáp - Mũ bảo hiểm
CC.armor_helmet_access,Armor - Helmet Accessories,الدرع - إكسسوارات الخوذة,盔甲 - 头盔配件,Brnění - Příslušenství k přilbám,Panser - Hjelmtilbehør,Armor - Helmaccessoires,Panssari - kypärän tarvikkeet,Armure - Accessoires pour casques,Rüstung - Helmzubehör,Πανοπλία - Αξεσουάρ κράνους,שריון - אביזרי קסדה,Páncél – sisaktartozékok,Armor - Aksesoris Helm,Armature - Accessori per elmetti,कवच - हेलमेट सहायक उपकरण,防具 - ヘルメットアクセサリ,갑옷 - 헬멧 액세서리,Armor - Hjelmtilbehør,Pancerz - Akcesoria do hełmów,Armadura - Acessórios para capacete,Броня - Аксессуары для шлемов,Pansar - Hjälmtillbehör,Armadura - Accesorios para casco,เกราะ - อุปกรณ์เสริมหมวกกันน็อค,Zırh - Kask Aksesuarları,Броня - Аксесуари для шолома,Giáp - Phụ kiện mũ bảo hiểm
CC.armor_torso,Armor - Torso,درع - الجذع,装甲 - 躯干,Brnění - Torzo,Panser - Torso,Harnas - Torso,Panssari - Torso,Armure - Torse,Rüstung - Torso,Πανοπλία - Κορμός,שריון - טורסו,Páncél – törzs,Baju Besi - Batang Tubuh,Armatura: torso,कवच - धड़,鎧 - 胴体,갑옷 - 몸통,Rustning - Torso,Pancerz - Tułów,Armadura - Torso,Броня - Торс,Pansar - Torso,Armadura - Torso,ชุดเกราะ - เนื้อตัว,Zırh - Gövde,Броня - Торс,Giáp - Thân
CC.armor_torso_access,Armor - Torso Accessories,الدرع - إكسسوارات الجذع,盔甲 - 躯干配件,Armor - Torzo Příslušenství,Panser - Torso tilbehør,Armor - Torso-accessoires,Panssari - Vartalon tarvikkeet,Armure - Accessoires de torse,Rüstung – Torso-Zubehör,Πανοπλία - Αξεσουάρ κορμού,שריון - אביזרים לטורסו,Páncél – törzstartozékok,Armor - Aksesoris Tubuh,Armatura - Accessori per il torso,कवच-धड़ सहायक उपकरण,防具 - 胴体アクセサリー,갑옷 - 몸통 액세서리,Armor - Torso tilbehør,Pancerz - Akcesoria tułowia,Armadura - Acessórios para Torso,Броня - Аксессуары для торса,Armor - Torso Tillbehör,Armadura - Accesorios para el torso,เกราะ - อุปกรณ์เสริมลำตัว,Zırh - Gövde Aksesuarları,Обладунки - Аксесуари для торсу,Giáp - Phụ kiện Torso
CC.armor_torso_extra,Armor - Torso Extra,الدرع - الجذع الإضافي,装甲 - 躯干额外,Brnění - Torzo Extra,Panser - Torso Extra,Pantser - Torso Extra,Armor - Torso Extra,Armure - Torse Extra,Rüstung – Torso Extra,Armor - Torso Extra,שריון - טורסו אקסטרה,Páncél - Torso Extra,Armor - Ekstra Tubuh,Armatura: torso extra,कवच - धड़ अतिरिक्त,鎧 - 胴体追加,갑옷 - 몸통 추가,Panser - Torso Extra,Pancerz - Dodatkowy tułów,Armadura - Torso Extra,Броня - Торс Экстра,Pansar - Torso Extra,Armadura - Torso Extra,ชุดเกราะ - ส่วนเสริมลำตัว,Zırh - Gövde Ekstra,Броня - Торс Екстра,Giáp - Torso Extra
CC.armor_torso_upperright,Armor - Torso Right Shoulder,الدرع - الكتف الأيمن للجذع,护甲 - 躯干右肩,Brnění – pravé rameno trupu,Panser - Torso højre skulder,Armor - Torso rechterschouder,Panssari - Vartalon oikea lapa,Armure - Torse Épaule Droite,Rüstung – Torso rechte Schulter,Πανοπλία - Κορμός Δεξιός ώμος,שריון - טורסו כתף ימין,Páncél – törzs jobb váll,Armor - Bahu Kanan Tubuh,"Armatura: torso, spalla destra",कवच - धड़ दाहिना कंधा,鎧 - 胴体右肩,갑옷 - 몸통 오른쪽 어깨,Panser - Torso høyre skulder,Pancerz - Prawe ramię tułowia,Armadura - Torso Ombro Direito,Броня — правое плечо туловища,Pansar - Torso höger axel,Armadura - Torso Hombro Derecho,ชุดเกราะ - ลำตัว ไหล่ขวา,Zırh - Gövde Sağ Omuz,"Броня - тулуб, праве плече",Giáp - Thân Vai Phải
CC.armor_torso_upperleft,Armor - Torso Left Shoulder,الدرع - الكتف الأيسر للجذع,装甲 - 躯干左肩,Brnění - levé rameno trupu,Panser - Torso venstre skulder,Armor - Torso linkerschouder,Panssari - Vartalon vasen olkapää,Armure - Torse épaule gauche,"Rüstung – Torso, linke Schulter",Πανοπλία - Κορμός αριστερός ώμος,שריון - טורסו כתף שמאל,Páncél – törzs bal váll,Armor - Bahu Kiri Tubuh,Armatura: spalla sinistra del busto,कवच - धड़ बायां कंधा,鎧 - 胴体左肩,갑옷 - 몸통 왼쪽 어깨,Panser - Torso venstre skulder,"Pancerz – Tułów, lewe ramię",Armadura - Torso Ombro Esquerdo,Броня — левое плечо туловища,Pansar - Torso vänster axel,Armadura - Torso Hombro Izquierdo,ชุดเกราะ - ลำตัวไหล่ซ้าย,Zırh - Gövde Sol Omuz,"Броня - Торс, Ліве плече",Giáp - Thân Vai Trái
CC.armor_torso_lowerright,Armor - Torso Right Arm,الدرع - الذراع اليمنى للجذع,装甲 - 躯干右臂,Brnění - Torzo Pravá paže,Panser - Torso højre arm,Armor - Torso rechterarm,Panssari - Vartalon oikea käsivarsi,Armure - Torse Bras Droit,Rüstung – Torso rechter Arm,Armor - Κορμός Δεξί Μπράτσο,שריון - זרוע ימין,Páncél - Törzs jobb kar,Armor - Lengan Kanan Tubuh,Armatura: torso del braccio destro,कवच - धड़ दाहिनी भुजा,鎧 - 胴体右腕,갑옷 - 몸통 오른팔,Armor - Torso Høyre Arm,Pancerz — prawe ramię tułowia,Armadura - Torso Braço Direito,Броня — правая рука туловища,Armor - Torso Right Arm,Armadura - Torso Brazo Derecho,ชุดเกราะ - แขนขวาลำตัว,Zırh - Gövde Sağ Kol,Броня - Торс Права рука,Giáp - Thân Cánh Tay Phải
CC.armor_torso_lowerleft,Armor - Torso Left Arm,الدرع - الذراع الأيسر للجذع,装甲 - 躯干左臂,Brnění - Levá paže trupu,Panser - Torso venstre arm,Armor - Torso linkerarm,Panssari - Vartalon vasen käsivarsi,Armure - Torse Bras Gauche,"Rüstung – Torso, linker Arm",Armor - Κορμός Αριστερό Μπράτσο,שריון - זרוע שמאל של הגוף,Páncél – torzó bal kar,Armor - Lengan Kiri Tubuh,Armatura: torso del braccio sinistro,कवच - धड़ बायां हाथ,鎧 - 胴体左腕,갑옷 - 몸통 왼쪽 팔,Armor - Torso venstre arm,Pancerz – Lewe ramię tułowia,Armadura - Torso Braço Esquerdo,"Броня — туловище, левая рука",Pansar - Torso vänster arm,Armadura - Torso Brazo Izquierdo,เกราะ - ลำตัวแขนซ้าย,Zırh - Gövde Sol Kol,Броня - торс ліва рука,Giáp - Thân Tay Trái
CC.armor_legs,Armor - Lower Body,الدرع - الجزء السفلي من الجسم,装甲 - 下半身,Brnění – spodní část těla,Panser - Underkrop,Harnas - Onderlichaam,Panssari - Alavartalo,Armure - Bas du corps,Rüstung – Unterkörper,Πανοπλία - Κάτω Σώμα,שריון - פלג גוף תחתון,Páncél – Alsó test,Armor - Tubuh Bagian Bawah,Armatura: parte inferiore del corpo,कवच - निचला शरीर,鎧 - 下半身,방어구 - 하체,Panser - underkropp,Pancerz – dolna część ciała,Armadura - Parte Inferior do Corpo,Броня — нижняя часть тела,Pansar - Underkropp,Armadura - Parte inferior del cuerpo,เกราะ - ลำตัวส่วนล่าง,Zırh - Alt Gövde,Броня - нижня частина тіла,Giáp - Thân Dưới
CC.armor_legs_access,Armor - Lower Body Accessories,الدرع - ملحقات الجزء السفلي من الجسم,装甲 - 下半身配件,Brnění – doplňky spodní části těla,Panser - Tilbehør til underkroppen,Armor - Accessoires voor het onderlichaam,Armor - Alavartalon tarvikkeet,Armure - Accessoires bas du corps,Rüstung – Zubehör für den Unterkörper,Πανοπλία - Αξεσουάρ κάτω αμαξώματος,שריון - אביזרי פלג גוף תחתון,Páncél – Alsótest-tartozékok,Armor - Aksesoris Tubuh Bagian Bawah,Armatura - Accessori per la parte inferiore del corpo,कवच - निचले शरीर के सहायक उपकरण,防具 - 下半身アクセサリー,방어구 - 하체 장신구,Panser - Underkroppstilbehør,Pancerz — akcesoria dolnego korpusu,Armadura - Acessórios para a parte inferior do corpo,Броня – аксессуары для нижней части тела,Pansar - Underkroppstillbehör,Armadura - Accesorios para la parte inferior del cuerpo,ชุดเกราะ - อุปกรณ์เสริมลำตัวส่วนล่าง,Zırh - Alt Gövde Aksesuarları,Броня - аксесуари для нижньої частини тіла,Giáp - Phụ kiện thân dưới
CC.armor_legs_upperright,Armor - Lower Body Right Thigh,الدرع - الجزء السفلي من الجسم بالفخذ الأيمن,护甲-下半身右大腿,Brnění – spodní část těla pravé stehno,Panser - Underkrop højre lår,Armor - Onderlichaam rechterdij,Panssari - Alavartalon oikea reisi,"Armure - Bas du corps, cuisse droite","Rüstung – Unterkörper, rechter Oberschenkel",Πανοπλία - Κάτω Σώμα Δεξιός Μηρός,שריון - ירך ימין פלג גוף תחתון,Páncél - Alsó test jobb comb,Armor - Paha Kanan Tubuh Bagian Bawah,"Armatura: parte inferiore del corpo, coscia destra",कवच - निचला शरीर दाहिनी जांघ,鎧 - 下半身右大腿部,갑옷 - 하체 오른쪽 허벅지,Panser - underkropp høyre lår,Pancerz – prawe udo dolnej części ciała,"Armadura - Parte inferior do corpo, coxa direita","Броня — нижняя часть тела, правое бедро",Pansar - Underkropp höger lår,"Armadura: parte inferior del cuerpo, muslo derecho",เกราะ - ลำตัวส่วนล่าง ต้นขาขวา,Zırh - Alt Gövde Sağ Uyluk,Броня - нижня частина правого стегна,Giáp - Thân dưới đùi phải
CC.armor_legs_upperleft,Armor - Lower Body Left Thigh,الدرع - الجزء السفلي من الجسم الأيسر من الفخذ,护甲 - 下半身左大腿,Brnění – spodní část těla levé stehno,Panser - Underkrop venstre lår,Armor - Onderlichaam linkerdij,Panssari - Alavartalon vasen reisi,"Armure - Bas du corps, cuisse gauche","Rüstung – Unterkörper, linker Oberschenkel",Πανοπλία - Κάτω Σώμα αριστερός μηρός,שריון - ירך שמאל פלג גוף תחתון,Páncél - Alsó test bal comb,Armor - Paha Kiri Tubuh Bagian Bawah,"Armatura: parte inferiore del corpo, coscia sinistra",कवच - निचला शरीर बायीं जांघ,鎧 - 下半身左大腿部,갑옷 - 하체 왼쪽 허벅지,Armor - Underkroppen venstre lår,"Pancerz – dolna część ciała, lewe udo","Armadura - Parte inferior do corpo, coxa esquerda","Броня — нижняя часть тела, левое бедро",Armor - Underkropp Vänster Lår,"Armadura: parte inferior del cuerpo, muslo izquierdo",เกราะ - ส่วนล่างของต้นขาซ้าย,Zırh - Alt Gövde Sol Uyluk,"Броня - нижня частина тіла, ліве стегно",Giáp - Thân dưới đùi trái
CC.armor_legs_lowerright,Armor - Lower Body Right Leg,الدرع - الجزء السفلي من الجسم بالساق اليمنى,护甲-下半身右腿,Brnění – spodní část těla pravá noha,Panser - Underkrop højre ben,Armor - rechterbeen van het onderlichaam,Panssari - Alavartalon oikea jalka,Armure - Jambe droite du bas du corps,"Rüstung – Unterkörper, rechtes Bein",Πανοπλία - Κάτω Σώμα Δεξί Πόδι,שריון - פלג גוף תחתון רגל ימין,Páncél - Alsó test jobb láb,Armor - Tubuh Bagian Bawah Kaki Kanan,Armatura: parte inferiore del corpo della gamba destra,कवच - निचला शरीर दाहिना पैर,鎧 - 下半身右脚,방어구 - 하체 오른쪽 다리,Rustning - Underkropp Høyre ben,Pancerz – prawa noga dolnej części ciała,"Armadura - Parte inferior do corpo, perna direita","Броня — нижняя часть тела, правая нога",Pansar - Underkropp höger ben,Armadura - Pierna derecha de la parte inferior del cuerpo,เกราะ - ขาขวาส่วนล่างของร่างกาย,Zırh - Alt Gövde Sağ Bacak,"Броня - нижня частина тіла, права нога",Giáp - Thân dưới Chân phải
CC.armor_legs_lowerleft,Armor - Lower Body Left Leg,الدرع - الجزء السفلي من الجسم بالساق اليسرى,护甲-下半身左腿,Brnění - spodní část těla levá noha,Panser - Underkrop Venstre Ben,Armor - Onderlichaam linkerbeen,Panssari - Alavartalon vasen jalka,Armure - Jambe gauche du bas du corps,"Rüstung – Unterkörper, linkes Bein",Πανοπλία - Κάτω Σώμα Αριστερό Πόδι,שריון - פלג גוף תחתון רגל שמאל,Páncél - Alsó test bal láb,Armor - Kaki Kiri Tubuh Bagian Bawah,Armatura: parte inferiore della gamba sinistra del corpo,कवच - निचला शरीर बायाँ पैर,鎧 - 下半身左脚,갑옷 - 하체 왼쪽 다리,Panser - Underkroppens venstre ben,"Pancerz – dolna część ciała, lewa noga","Armadura - Parte inferior do corpo, perna esquerda","Броня — нижняя часть тела, левая нога",Pansar - Underkroppens vänstra ben,Armadura - Pierna izquierda de la parte inferior del cuerpo,เกราะ - ขาซ้ายส่วนล่างของร่างกาย,Zırh - Alt Gövde Sol Bacak,"Броня - нижня частина тіла, ліва нога",Giáp - Thân dưới chân trái
CC.Player,Player,لاعب,玩家,Hráč,Spiller,Speler,Pelaaja,Joueur,Spieler,Παίχτης,שחקן,Játékos,Pemain,Giocatore,खिलाड़ी,プレーヤー,플레이어,Spiller,Gracz,Jogador,Игрок,Spelare,Jugador,ผู้เล่น,oyuncu,гравець,Người chơi
CC.PlayerSkin,Player Skin,جلد اللاعب,玩家皮肤,Kůže hráče,Spillerens hud,Spelerhuid,Pelaajan iho,Peau de joueur,Spieler-Skin,Player Skin,עור שחקן,Játékos bőr,Kulit Pemain,Pelle del giocatore,खिलाड़ी की त्वचा,プレイヤースキン,플레이어 스킨,Spillerhud,Skórka gracza,Pele do jogador,Скин игрока,Spelarens hud,Piel de jugador,สกินผู้เล่น,Oyuncu Görünümü,Скін гравця,Da người chơi
CC.MaleNPC,Male NPC,ذكر المجلس الوطني لنواب الشعب,男性NPC,Muž NPC,Mandlige NPC,Mannelijke NPC,Miesten NPC,PNJ mâle,Männlicher NPC,Αρσενικό NPC,NPC זכר,Férfi NPC,NPC laki-laki,NPC maschio,पुरुष एनपीसी,男性NPC,남성 NPC,Mannlig NPC,Męski NPC,NPC Masculino,NPC-мужчина,Manlig NPC,PNJ masculino,NPC ชาย,Erkek NPC,Чоловічий NPC,NPC nam
CC.FemaleNPC,Female NPC,أنثى المجلس الوطني لنواب الشعب,女性NPC,Ženské NPC,Kvinde NPC,Vrouwelijke NPC,Nainen NPC,PNJ féminin,Weiblicher NPC,Θηλυκό NPC,NPC נקבה,Női NPC,NPC wanita,PNG femminile,महिला एनपीसी,女性NPC,여성 NPC,Kvinnelig NPC,Kobieta NPC,NPC feminina,Женский НПС,Kvinnlig NPC,PNJ femenino,NPC หญิง,Kadın NPC,Жіночий NPC,NPC nữ
CC.ChildNPC,Child NPC,الطفل NPC,儿童 NPC,Dětské NPC,Børne NPC,Kind-NPC,Lapsi NPC,PNJ enfant,Kinder-NPC,Παιδικό NPC,NPC לילד,Gyermek NPC,NPC Anak,NPC bambino,बाल एनपीसी,子NPC,어린이 NPC,Barn NPC,Dziecko NPC,NPC infantil,Детский НПС,Barn NPC,PNJ infantil,NPC เด็ก,Çocuk NPC,Дитина NPC,NPC con
CC.Biter,Biter,العضاضة,比特尔,Biter,Bitter,Bijter,Biter,Mordeur,Beißer,Πικραμένος,נושך,Harapós állat,Penggigit,Mordente,काटनेवाला,ビター,무는 것,Biter,Gryźć,Mordedor,кусающий,Biter,mordedor,กัด,Isıran,кусач,cay đắng
CC.Viral,Viral,منتشر,病毒性的,Virový,Viral,Viraal,Viraalinen,Viral,Viral,Ιογενής,נְגִיפִי,Vírusos,Virus,Virale,वायरल,バイラル,바이러스의,Viral,Wirusowy,Viral,Популярный,Viral,Viral,ไวรัส,viral,вірусний,Nổi tiếng
CC.SpecialInfected,Special Infected,المصابة الخاصة,特殊感染者,Speciálně nakažený,Særligt inficeret,Speciaal geïnfecteerd,Erityiset tartunnan saaneet,Spécial infecté,Speziell infiziert,Ειδικά μολυσμένα,Infected מיוחד,Speciálisan fertőzött,Terinfeksi Khusus,Infetto speciale,विशेष संक्रमित,特殊感染者,특수 감염자,Spesielt infisert,Specjalny zarażony,Infectado Especial,Особые зараженные,Specialinfekterad,Infectados especiales,ติดเชื้อแบบพิเศษ,Özel Enfekte,Особливі Інфіковані,Người nhiễm bệnh đặc biệt
CC.ALL,ALL,الجميع,全部,VŠECHNO,ALLE,ALLE,KAIKKI,TOUS,ALLE,ΟΛΑ,את כל,MINDEN,SEMUA,TUTTO,सभी,全て,모두,ALLE,WSZYSTKO,TODOS,ВСЕ,ALLT,TODO,ทั้งหมด,TÜM,ВСЕ,TẤT CẢ
CC.Survivor,Survivor,الناجي,幸存者,Pozůstalý,Overlevende,Overlevende,Selviytyjä,Survivant,Überlebende,Επιζών,ניצול,Túlélő,Penyintas,Sopravvissuto,उत्तरजीवी,生存者,살아남은 사람,Overlevende,Niedobitek,Sobrevivente,Выживший,Efterlevande,Sobreviviente,ผู้รอดชีวิต,Hayatta kalan,Вижив,Người sống sót
CC.PeaceKeeper,PeaceKeeper,حارس السلام,和平卫士,Strážce míru,Fredsbevarer,Vredestichter,Rauhanturvaaja,Casque bleu,Friedenswächter,Ειρηνευτής,שומר שלום,Békefenntartó,Penjaga perdamaian,Pacificatore,शांतिरक्षक,ピースキーパー,평화 유지군,Fredsbevarer,Strażnik Pokoju,Guardião da Paz,Миротворец,Fredsbevarare,Guardián de la paz,ผู้รักษาสันติภาพ,Barışçıl,Миротворець,Người gìn giữ hòa bình
CC.GRE,GRE,اليونان,GRE,GRE,GRE,GRE,GRE,GRE,GRE,GRE,GRE,GRE,GRE,GRE,जीआरई,グレ,GRE,GRE,GRE,GR,ГРЭ,GRE,GRE,GRE,GRE,GRE,GRE
CC.Colonel,Colonel,كولونيل,上校,Plukovník,Oberst,Kolonel,Eversti,Colonel,Oberst,Συνταγματάρχης,אלוף משנה,Ezredes,Kolonel,Colonnello,कर्नल,大佐,대령,Oberst,Pułkownik,Coronel,Полковник,Överste,Coronel,พันเอก,Albay,Полковник,Đại tá
CC.WorldBurner,WorldBurner,WorldBurner,世界燃烧器,WorldBurner,WorldBurner,WereldBurner,WorldBurner,Brûleur mondial,Weltbrenner,WorldBurner,WorldBurner,WorldBurner,Pembakar Dunia,WorldBurner,वर्ल्डबर्नर,ワールドバーナー,월드버너,WorldBurner,ŚwiatBurner,Queimador Mundial,МирBurner,WorldBurner,Quemador mundial,เวิลด์เบิร์นเนอร์,DünyaBurner,WorldBurner,WorldBurner
CC.Wolves,Wolves,الذئاب,狼队,vlci,Ulve,Wolven,Sudet,loups,Wölfe,Λύκοι,זאבים,Farkasok,Serigala,Lupi,भेड़िये,オオカミ,늑대,ulver,Wilki,Lobos,Волки,Vargar,Lobos,หมาป่า,Kurtlar,Вовки,sói
CC.PlagueBearer,PlagueBearer,حامل الطاعون,瘟疫携带者,PlagueBearer,Pestbærer,Pestdrager,Rutonkantaja,Porteur de peste,Seuchenträger,PlagueBearer,נושא המגפה,Pestishordozó,Pembawa Wabah,Portatore di peste,प्लेगवाहक,ペストベアラー,플레이그베어러,Pestbærer,Nosiciel Plagi,Portador da Peste,Носитель Чумы,Pestbärare,Portador de plaga,ผู้ถือโรคระบาด,Veba Taşıyıcısı,Чуманосець,Người mang bệnh dịch hạch
CC.NPC,NPC,المجلس الوطني لنواب الشعب الصيني,全国人大,NPC,NPC,NPC,NPC,PNJ,NPC,NPC,NPC,NPC,NPC,PNG,एनपीसी,NPC,NPC,NPC,NPC,NPC,НПС,NPC,PNJ,เอ็นพีซี,NPC,NPC,NPC
CC.Goon,Goon,تابع,继续,Pokračuj,Fortsæt,Ga verder,Jatka,Continue,Mach weiter,Συνέχισε,תמשיך,Tovább,Lanjutkan,Vai avanti,जारी रखें,続ける,계속해,Fortsett,Kontynuować,Prossiga,Продолжать,Fortsätt,Seguir,ต่อไป,Devam et,Продовжувати,Đi tiếp
CC.Demolisher,Demolisher,هدم,拆除者,Demolátor,Nedrivningsmaskine,Sloper,Purkuttaja,Démolisseur,Zerstörer,Κατεδαφιστής,הורס,Bontó,Pembongkar,Demolitore,विनाशक,デモリッシャー,파괴자,Demolisher,Niszczyciel,Demolidor,Разрушитель,Demolisher,Demoledor,เครื่องรื้อถอน,Yıkıcı,Підривник,máy phá hủy
CC.Volatile,Volatile,متقلب,易挥发的,Nestálý,Flygtig,Vluchtig,Haihtuva,Volatil,Flüchtig,Πτητικός,נָדִיף,Illó,Tidak stabil,Volatile,परिवर्तनशील,揮発性,휘발성 물질,Flyktige,Lotny,Volátil,Неустойчивый,Flyktig,Volátil,ระเหย,Uçucu,Летючі,Bay hơi
CC.Spitter,Spitter,بصاق,吐痰者,Spitter,Spitter,Spits,Spitter,Cracheur,Spitter,Πτύων,ספיטר,Köpködő,meludah,Sputa,थूकनेवाला,スピッター,스피터,Spitter,Pluwacz,Cuspidor,Спиттер,Spitter,escupir,สปิตเตอร์,tükürük,Плювач,Người nhổ
